source_path,base_experiment_id,sim_economy_mode,sim_market_spend_mode,sim_price_band_mode,sim_market_choice_mode,fresh_gate_pass,ml_gate_pass,actual_balanced_none,actual_balanced_v9,actual_balanced_delta,actual_power_none,actual_power_v9,actual_power_delta,predicted_balanced_none,predicted_balanced_v9,predicted_balanced_delta,predicted_power_none,predicted_power_v9,predicted_power_delta,recommendation_score
logs/sim/economy_trace_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.45,0.75,0.3,0.6,0.8,0.2,0.5239,0.6451,0.1212,0.6138,0.7051,0.0912,5.0498
logs/sim/economy_gated_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.45,0.8,0.35,0.5,0.6,0.1,0.5107,0.6668,0.1561,0.5523,0.6579,0.1055,4.7232
logs/sim/economy_choice_affordable_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,affordable_alternative_v1,1,1,0.3,0.55,0.25,0.5,0.7,0.2,0.4922,0.6286,0.1365,0.6032,0.6753,0.072,4.542
logs/sim/economy_budget_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.3,0.6,0.3,0.5,0.6,0.1,0.5228,0.6325,0.1096,0.5847,0.6675,0.0828,4.3848
logs/sim/boss_expansion_probe_v1_r80_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5,0.6625,0.1625,0.55,0.7125,0.1625,0.5173,0.6374,0.1201,0.6184,0.7083,0.0898,4.2135
logs/sim/ml_sweep_market_exposure_v72_smoke_r200_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.49,0.655,0.165,0.6,0.745,0.145,0.5239,0.6451,0.1212,0.6138,0.7051,0.0912,4.1473
logs/sim/ml_sweep_market_exposure_v75_smoke_r200_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.49,0.655,0.165,0.6,0.745,0.145,0.5239,0.6451,0.1212,0.6138,0.7051,0.0912,4.1473
logs/sim/ml_sweep_runtime_table_v71_smoke_r200_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.49,0.655,0.165,0.6,0.745,0.145,0.5239,0.6451,0.1212,0.6138,0.7051,0.0912,4.1473
logs/sim/ml_sweep_integrated_runtime_transition_v63_r800_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3,trace_only,none,none,none,1,1,0.465,0.6138,0.1487,0.5575,0.6837,0.1262,0.4584,0.6278,0.1694,0.5629,0.6818,0.1189,4.0972
logs/sim/ml_sweep_boss_runtime_v90_long_r800_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5162,0.6538,0.1375,0.5775,0.7325,0.155,0.5239,0.6451,0.1212,0.6138,0.7051,0.0912,4.0754
